id	title	status	format	bytes	path
fra_fob	French Ostervald Bible	ok	usfm	2997774	/home/ender/Projects/uberBible/source/ebible/fra_fob/usfm
deu1912	German Luther Bible 1912	ok	usfm	2499045	/home/ender/Projects/uberBible/source/ebible/deu1912/usfm
deutkw	German Textbibel	ok	usfm	1605326	/home/ender/Projects/uberBible/source/ebible/deutkw/usfm
deuelo	German Unrevised Elberfelder Bible	ok	usfm	1504592	/home/ender/Projects/uberBible/source/ebible/deuelo/usfm
grcbrent	Brenton Septuagint	ok	usfm	1728472	/home/ender/Projects/uberBible/source/ebible/grcbrent/usfm
grcbyz	Byzantine Greek  NT	ok	usfm	810473	/home/ender/Projects/uberBible/source/ebible/grcbyz/usfm
grcmt	Greek Majority Text NT	ok	usfm	866145	/home/ender/Projects/uberBible/source/ebible/grcmt/usfm
grclxx	SEPTUAGINTA	ok	usfm	1674679	/home/ender/Projects/uberBible/source/ebible/grclxx/usfm
grcsr	Solid Rock Greek New Testament	ok	usfm	1065318	/home/ender/Projects/uberBible/source/ebible/grcsr/usfm
grctcgnt	Text-Critical Greek NT	ok	usfm	1046857	/home/ender/Projects/uberBible/source/ebible/grctcgnt/usfm
grctr	Textus Receptus	ok	usfm	787287	/home/ender/Projects/uberBible/source/ebible/grctr/usfm
grc-tisch	Tischendorf Greek NT	ok	usfm	1218957	/home/ender/Projects/uberBible/source/ebible/grc-tisch/usfm
kky	Gugu Yimidhirr Matthew Sample	ok	usfm	81589	/home/ender/Projects/uberBible/source/ebible/kky/usfm
hat	Haitian Creole Bible 1985	ok	usfm	1429620	/home/ender/Projects/uberBible/source/ebible/hat/usfm
haw1868	Hawaiian Bible 1868	ok	usfm	1351583	/home/ender/Projects/uberBible/source/ebible/haw1868/usfm
hbo	Hebrew Masoretic OT	ok	usfm	1482191	/home/ender/Projects/uberBible/source/ebible/hbo/usfm
heb	Modern Hebrew Bible	ok	usfm	1077434	/home/ender/Projects/uberBible/source/ebible/heb/usfm
hebsg	Salkinson Hebrew NT	ok	usfm	468284	/home/ender/Projects/uberBible/source/ebible/hebsg/usfm
hboWLC	Westminster Leningrad Codex Hebrew OT	ok	usfm	2218423	/home/ender/Projects/uberBible/source/ebible/hboWLC/usfm
ita1885	Italian Diodati Bible	ok	usfm	1928058	/home/ender/Projects/uberBible/source/ebible/ita1885/usfm
ita1927	Italian Riveduta Bible	ok	usfm	1494605	/home/ender/Projects/uberBible/source/ebible/ita1927/usfm
jpnm	Japanese Freedom Bible	ok	usfm	1543995	/home/ender/Projects/uberBible/source/ebible/jpnm/usfm
jpn1965	New Japanese NT	ok	usfm	436115	/home/ender/Projects/uberBible/source/ebible/jpn1965/usfm
kor	Korean Bible 1910	ok	usfm	1416348	/home/ender/Projects/uberBible/source/ebible/kor/usfm
kos	Kosraean Bible	ok	usfm	1536760	/home/ender/Projects/uberBible/source/ebible/kos/usfm
ulk1902	Meriam Mir Bible	ok	usfm	149017	/home/ender/Projects/uberBible/source/ebible/ulk1902/usfm
nay	Ngarrindjeri Scriptures	ok	usfm	37803	/home/ender/Projects/uberBible/source/ebible/nay/usfm
pesOPV	Old Persion Version Bible	ok	usfm	1552214	/home/ender/Projects/uberBible/source/ebible/pesOPV/usfm
pon-pdn	Pohnpeian NT & Psalms, new alphabet	ok	usfm	389626	/home/ender/Projects/uberBible/source/ebible/pon-pdn/usfm
pon	Pohnpeian NT & Psalms, old alphabet	ok	usfm	390336	/home/ender/Projects/uberBible/source/ebible/pon/usfm
porbrbsl	World Portuguese Bible	ok	usfm	1511770	/home/ender/Projects/uberBible/source/ebible/porbrbsl/usfm
ron1924	Romanian Bible (Cyrillic)	ok	usfm	1734689	/home/ender/Projects/uberBible/source/ebible/ron1924/usfm
ronbtf	Romanian BTF Bible	ok	usfm	1442195	/home/ender/Projects/uberBible/source/ebible/ronbtf/usfm
ronbl	Romanian Free Holy Bible	ok	usfm	405033	/home/ender/Projects/uberBible/source/ebible/ronbl/usfm
ronlsb	Romanian Free Holy Bible	FAIL	-	0	-
russyn	Russian Synodal Bible	ok	usfm	1639185	/home/ender/Projects/uberBible/source/ebible/russyn/usfm
srp1868	Serbian DK Bible (Cyrillic)	ok	usfm	1594624	/home/ender/Projects/uberBible/source/ebible/srp1868/usfm
srp1865	Serbian DK Bible (Latin)	ok	usfm	1369533	/home/ender/Projects/uberBible/source/ebible/srp1865/usfm
spaRV1909	Reina Valera 1909	ok	usfm	2384234	/home/ender/Projects/uberBible/source/ebible/spaRV1909/usfm
spabll	Spanish BLL	ok	usfm	2908787	/home/ender/Projects/uberBible/source/ebible/spabll/usfm
spablm	Spanish Free Bible for the World	ok	usfm	2898021	/home/ender/Projects/uberBible/source/ebible/spablm/usfm
swh1850	Swahili Bible	ok	usfm	373708	/home/ender/Projects/uberBible/source/ebible/swh1850/usfm
ton	Revised West Version	ok	usfm	1545230	/home/ender/Projects/uberBible/source/ebible/ton/usfm
ukr1871	Ukrainian Bible by P. Kulish	ok	usfm	1730372	/home/ender/Projects/uberBible/source/ebible/ukr1871/usfm
ukrfb	Ukrainian Freedom Bible	ok	usfm	1730073	/home/ender/Projects/uberBible/source/ebible/ukrfb/usfm
vie1934	Vietnamese Bible 1923	ok	usfm	1517732	/home/ender/Projects/uberBible/source/ebible/vie1934/usfm
wro	Worrorra Mark and Luke	ok	usfm	96082	/home/ender/Projects/uberBible/source/ebible/wro/usfm
hebwlc	Hebrew OT (WLC)	ok	usfm	1466911	/home/ender/Projects/uberBible/source/ebible/hebwlc/usfm
ronlsb	Romanian Free Holy Bible	ok	xetex	484444	/home/ender/Projects/uberBible/source/ebible/ronlsb/xetex
